TOA5,CR1000_BigSky_WFork,CR1000,25170,CR1000.Std.16,CPU:WestFork_stage_cond_temp_60sec.CR1,56826,WF
TIMESTAMP,RECORD,Batt_Volt_Avg,AirTemp_Avg,H20Dist_Avg,H20Cond_Avg,H20Temp_Avg,Ct_Avg,Stage_Avg,AirTemp_SMP,H20Dist_SMP,Stage_SMP,H20Cond_SMP,Ct_SMP,H20Temp_SMP
TS,RN,Volts,Deg C,meters,mS/cm,Deg C,mS/cm,meters,Deg C,meters,meters,mS/cm,mS/cm,Deg C
,,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Smp,Smp,Smp
2011-08-16 22:00:00,31070,13.05,9.050864,1.772062,0.2643393,13.27521,0.1868546,0.3279375,8.331299,1.768367,0.3316332,0.2650939,0.1857983,13.0351
2011-08-16 22:30:00,31071,13.02,8.547412,1.771296,0.2661127,12.79151,0.1848902,0.328704,8.034973,1.769465,0.3305352,0.2667406,0.1839532,12.58533
2011-08-16 23:00:00,31072,13,7.488722,1.771462,0.2677745,12.32038,0.1828911,0.3285381,7.133545,1.773717,0.3262827,0.2689813,0.1820744,12.07614
2011-08-16 23:30:00,31073,12.98,6.854507,1.770741,0.2688777,11.90417,0.1808474,0.3292586,6.906799,1.768949,0.3310508,0.2693552,0.1799617,11.72482
2011-08-17 00:00:00,31074,12.96,5.975851,1.771126,0.2698818,11.52849,0.1789877,0.3288734,5.280304,1.769863,0.3301374,0.2712818,0.1783226,11.29333
2011-08-17 00:30:00,31075,12.95,5.552339,1.77039,0.271261,11.16479,0.1774365,0.3296101,4.973175,1.773932,0.3260684,0.2721932,0.1769206,10.99927
2011-08-17 01:00:00,31076,12.93,4.979617,1.768738,0.2724002,10.84439,0.175999,0.3312621,5.006042,1.765963,0.3340366,0.2729774,0.1755297,10.72076
2011-08-17 01:30:00,31077,12.92,4.599534,1.768655,0.2735289,10.5475,0.1746986,0.3313449,4.675049,1.767938,0.332062,0.2742657,0.1741557,10.39957
2011-08-17 02:00:00,31078,12.9,3.855214,1.769488,0.2747805,10.24528,0.173422,0.3305115,4.363129,1.769969,0.3300308,0.2749958,0.1725322,10.09598
2011-08-17 02:30:00,31079,12.89,3.579229,1.768304,0.2758566,9.972822,0.1722222,0.3316954,3.438721,1.768025,0.3319751,0.2765766,0.1718469,9.853424
2011-08-17 03:00:00,31080,12.87,3.694787,1.768003,0.2769251,9.697814,0.1709856,0.3319968,4.119659,1.765162,0.3348374,0.2773696,0.1702431,9.551086
2011-08-17 03:30:00,31081,12.86,3.669844,1.768276,0.2775927,9.434628,0.1695715,0.3317242,3.224884,1.767341,0.3326585,0.2770438,0.1685114,9.329926
2011-08-17 04:00:00,31082,12.85,3.154625,1.768759,0.2781076,9.165936,0.168018,0.3312408,2.826599,1.776119,0.3238808,0.2780956,0.1671296,9.039154
2011-08-17 04:30:00,31083,12.83,2.77384,1.769349,0.2787201,8.911094,0.1666119,0.330651,3.001434,1.769643,0.3303567,0.2788087,0.166094,8.829102
2011-08-17 05:00:00,31084,12.82,2.967304,1.768712,0.2797147,8.690273,0.1656626,0.331288,2.360474,1.776627,0.3233727,0.2801988,0.1651739,8.579529
2011-08-17 05:30:00,31085,12.8,2.573152,1.768001,0.2804454,8.44582,0.1643814,0.3319989,3.19574,1.768254,0.3317459,0.2807078,0.163796,8.340424
2011-08-17 06:00:00,31086,12.78,2.544666,1.768965,0.2813989,8.21961,0.1633488,0.3310343,2.593506,1.769341,0.3306594,0.2821729,0.163108,8.121704
2011-08-17 06:30:00,31087,12.76,2.20609,1.76798,0.2826839,8.012174,0.1626287,0.3320201,1.904114,1.764117,0.3358829,0.2832623,0.1621916,7.903381
2011-08-17 07:00:00,31088,12.78,1.857333,1.768815,0.2838297,7.814661,0.1618865,0.3311847,2.45755,1.771918,0.3280822,0.2843705,0.1612764,7.685394
2011-08-17 07:30:00,31089,12.86,2.212727,1.768787,0.2839755,7.613979,0.1605452,0.3312126,2.428436,1.765797,0.3342024,0.2846209,0.1603624,7.536987
2011-08-17 08:00:00,31090,13.13,3.324169,1.767772,0.2839264,7.476348,0.1595408,0.3322279,4.626312,1.770808,0.3291918,0.2835912,0.1592215,7.457886
2011-08-17 08:30:00,31091,13.65,5.134315,1.769247,0.2834507,7.431601,0.1589562,0.330753,5.329346,1.773048,0.3269521,0.2824742,0.1585217,7.447601
2011-08-17 09:00:00,31092,14.06,6.553537,1.769279,0.2820872,7.496733,0.1586505,0.3307213,8.098755,1.771695,0.3283049,0.2812609,0.1589423,7.604248
2011-08-17 09:30:00,31093,14.54,9.798171,1.772127,0.2800096,7.73763,0.1591671,0.3278731,12.10776,1.77508,0.3249197,0.2783449,0.1595009,7.921326
2011-08-17 10:00:00,31094,14.32,13.58936,1.775137,0.2770203,8.157243,0.1603727,0.3248633,14.93588,1.772561,0.327439,0.2756765,0.1610383,8.366272
2011-08-17 10:30:00,31095,14.05,16.14026,1.774509,0.2737364,8.652151,0.1618568,0.3254909,17.16245,1.780429,0.3195714,0.2717634,0.1625213,8.92099
2011-08-17 11:00:00,31096,13.92,18.41769,1.774869,0.2712617,9.229685,0.1643134,0.3251311,19.1543,1.777216,0.3227842,0.2711191,0.1664227,9.553436
2011-08-17 11:30:00,31097,13.83,20.7918,1.773223,0.2719446,9.905948,0.1693284,0.326777,21.96228,1.772219,0.3277808,0.2721829,0.1719629,10.27167
2011-08-17 12:00:00,31098,13.76,23.40222,1.775998,0.2715664,10.62215,0.1739502,0.3240015,23.58521,1.77917,0.3208299,0.2710317,0.1757951,10.94458
